"country_name","country_code","yr2000","yr2001","yr2002","yr2003","yr2004","yr2005","yr2006","yr2007","yr2008","yr2009","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015"
"Denmark","DNK",30743.5476816354,30751.654348268,33228.6935448819,40458.7773986609,46511.5983324305,48799.8256011275,52026.9995142723,58487.0549677696,64322.0635020842,58163.2768762815,58041.3984363385,61753.647131977,58507.5080517852,61191.1937042028,62548.9847332908,53254.8560039631
"Djibouti","DJI",768.17607674712,780.908222642322,791.389478167512,818.86662978308,863.231612341457,904.729748876566,967.668622919565,1052.72565197384,1223.85686092098,1267.31280083416,1343.26872994437,1451.54297984389,1559.24065068226,2312.72880330353,2464.32784119361,2658.97875260181
"Dominica","DMA",4787.78017069474,4883.7236627966,4771.04092651725,4897.44174988112,5217.230415605,5160.22431361932,5518.39910840448,5952.0566685762,6469.14573799801,6902.85716974119,6967.26665433457,7065.06184677542,6848.3942266793,7016.67647144723,7318.10378289945,7596.43506226258
"Dominican Republic","DOM",2869.10586072527,2977.14842791109,3136.15518697774,2445.43589302222,2528.57719913865,3970.32284040996,4134.68378533407,4707.79253191697,5087.98536458932,5039.40259591689,5555.38972190199,5913.43207224236,6110.36965247193,6238.13360822241,6608.82810187508,6921.5172283795
"Ecuador","ECU",1445.27932442901,1894.61516893932,2172.1018772447,2425.85184175715,2691.27808061965,3002.13686727475,3328.88297239765,3567.83643782206,4249.01926210976,4231.61579767847,4633.59035839904,5200.55579014874,5682.04500655353,6056.3308269681,6377.09153014217,6124.49164262072
"Egypt, Arab Rep.","EGY",1450.47624243298,1391.70784569174,1228.93797488055,1138.66467322337,1063.00366302957,1187.51968978388,1398.19062441416,1667.843720526,2044.52785549853,2329.23947996771,2644.81703909751,2791.95496186249,3232.64889178794,3264.37878715277,3378.83135785555,3598.9709482021
"El Salvador","SLV",2001.53800924467,2072.29984244997,2124.10288862918,2209.49650796945,2278.43184290573,2428.56951188864,2631.82041514301,2786.15792171718,2933.39567537172,2858.47963017276,2983.24270784904,3266.04587535311,3428.38473639383,3509.53149262616,3589.04219262897,3705.57794598177
"Equatorial Guinea","GNQ",1725.55473767524,2313.15128886079,2744.20815553402,3618.57609412069,6152.13123760173,10963.2893629413,12857.3360461499,15908.3918313632,22942.5834490967,16667.9368247067,17288.8595992193,21641.8705192127,21711.1532298542,20390.7193153023,19394.0299929972,11283.46560612
"Eritrea","ERI",308.13378356477,316.823820014563,293.955790897214,334.585442902621,407.769976516575,388.595122631048,415.036599442053,439.832690498933,450.63284030614,595.109987185412,501.355633266246,642.507659063694,NA,NA,NA,NA
"Estonia","EST",4075.97063851071,4509.1784599903,5344.8777984536,7206.16648010912,8912.99219516932,10406.3968759176,12631.5677723615,16741.9391245668,18227.1200781939,14794.9707926449,14790.8212220594,17621.5474392795,17534.4215441923,19174.100729108,20367.1026566799,17522.230186252
"Ethiopia","ETH",124.460800271762,120.765781959083,111.927223529279,119.490390988672,136.466255552783,162.432726500352,194.687430455118,244.286037152722,326.436826698931,380.569047862885,341.554114905179,354.479575841347,467.077927241718,499.531572059907,566.926466461984,640.541891313682
"Faroe Islands","FRO",22653.3160466352,24419.7424401392,26732.7904740224,31497.9669213031,35467.1754699443,36205.3705396112,41522.5438571741,47885.6988786829,50866.0810982214,47447.8700366077,48530.2338492813,52083.8891448364,49459.7172338372,54853.6255967876,59440.0307606004,52404.6593331379
"Fiji","FJI",2076.56878431649,2039.62569721177,2260.25839838475,2837.89224620811,3334.93166669792,3659.57932870842,3747.86071607455,4072.10156984329,4167.67028471654,3362.81655514032,3652.52743714193,4371.45751012411,4591.55578402956,4840.69371615802,5605.57033080847,5390.74523711745
"Finland","FIN",24285.4668205162,24946.1891891404,26869.6749036293,32855.1326287803,37702.8453762641,39040.2888825052,41188.0936997302,48414.8450929722,53554.0389224673,47293.9928335042,46459.9732548543,51081.9976703127,47710.7902169415,49878.0432444536,50260.2998588958,42784.6983616432
"France","FRA",22364.0293943406,22433.5557141945,24177.3351674642,29568.385949668,33741.2651469175,34760.1877663866,36443.6234414411,41508.4339850416,45334.1144358246,41575.4187483737,40638.33400426,43790.7320482019,40874.7035053457,42592.9340943342,43011.2631028417,36638.184929157
"French Polynesia","PYF",14323.820820245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon","GAB",4125.71666351713,3989.55660613452,4121.95864470997,4922.37652559806,5729.29695779698,6888.62714727031,7214.91454358539,8447.0785912062,10212.8194320542,7690.05223487234,8849.35529971507,10809.6464505909,9813.4777028244,9683.57629028674,9663.42923977641,7384.71587003183
"Gambia, The","GMB",594.151642988667,505.420149661362,411.77248040377,335.906216950504,642.75492984273,665.721940653672,662.362460976956,780.380099148097,924.511516430027,833.280402724096,860.637873688125,762.761054131159,742.781137796627,700.514971960668,607.428404115004,649.510829417793
"Georgia","GEO",749.908523611591,801.990413888373,853.516453713318,1010.0079801313,1305.04748557208,1642.76093756395,1996.05712927664,2635.35388202963,3324.73587905411,2822.66743023352,3233.29594347421,4021.74330617286,4421.81824228013,4623.74572473419,4739.18833846421,4014.18594419329
"Germany","DEU",23635.9292203977,23607.8828553922,25077.7290759602,30243.5765296979,34044.0536341248,34507.3688142332,36323.4477421822,41587.2128984264,45427.151677489,41485.9016495139,41531.9341978689,46644.776027968,43858.3630551076,46285.7640688407,47959.9932737599,41139.5445685533
"Ghana","GHA",258.47095948786,269.014998380817,304.564560762479,367.82152164834,417.508164861765,491.946377884101,911.998675616525,1078.16050942235,1210.62225723084,1074.75538037586,1299.34494946039,1549.46290192946,1587.56123719997,2345.39290574885,1971.03334675411,1743.8509964087
"Gibraltar","GIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greece","GRC",12042.9537310995,12538.1788278361,14110.3133911078,18477.578411927,21955.1040911595,22551.735744099,24801.1578065035,28827.3263555224,31997.2820108813,29710.9702950284,26917.7589787254,25916.2935289351,22242.681934771,21874.8195041667,21760.9797994918,18167.7737169162
"Greenland","GRL",19004.1072910304,19275.4733376066,20652.8783287878,27459.7627839484,32023.4522076237,32489.7819085278,35458.1231210482,39780.9514445753,44367.0556497873,44918.5648770756,43988.3324931946,47186.9814680048,45936.7659516989,47535.5899453685,50484.9275739023,44536.4013080999
"Grenada","GRD",5057.17396526767,5040.67046833563,5213.89626884928,5682.59610025871,5741.59863333486,6644.02495959618,6658.540846699,7212.50682187083,7832.42335227049,7290.69710041267,7257.75662232319,7291.05889664338,7444.5047675973,7789.77638079977,8369.88675513221,9096.87064595412
"Guam","GUM",NA,NA,21536.3668753499,22572.0752994287,24395.7976230384,26495.8775773033,26555.6452019565,27542.2261673182,29056.3142936191,30026.5032092749,30700.4340081784,30859.4043533803,32494.5623640591,33265.3811866066,34394.0974809957,35278.9259389693
"Guatemala","GTM",1664.29895827045,1575.42855740399,1710.34146844776,1765.35167674537,1889.69182366014,2101.54181782248,2287.9357153063,2531.2060801227,2848.50315971409,2695.22126447199,2898.94221470448,3281.66750176033,3408.78491640236,3522.77369775434,3779.64232768084,3994.63691288475
"Guinea","GIN",363.482478999068,336.630091885345,343.537341868267,393.739929291085,410.761216116844,322.415681605527,453.403518454163,659.992722954546,715.09682041101,674.085550245057,672.424402562443,651.135363533047,717.050737885584,769.003943268326,787.23807021997,769.256013746016
"Guinea-Bissau","GNB",308.144119293709,319.677491756944,331.493871829946,371.219827429358,404.349136626232,436.302019745415,429.622265888583,493.070496879393,597.576392658105,557.171614773484,557.632132626126,702.742880436386,616.411686249548,634.48244599306,622.481716725217,603.158512942404
"Guyana","GUY",954.404152491261,955.665380611907,974.949193282042,997.210034576674,1056.42388561094,1105.49645364882,1954.13330777809,2331.20034221863,2566.8870846973,2756.81988916377,3033.24772490536,3425.43644063562,3788.14674878178,3934.86526171904,4031.60066245674,4166.12851559884
"Haiti","HTI",467.147558753214,417.762646021673,396.633820807602,332.614778539168,391.034615655408,468.757269552512,508.968806625167,619.812774237648,678.844789796271,672.036997916062,665.627419493396,744.217426799623,769.749380959249,815.820015229786,831.873948899917,815.728284410317
"Honduras","HND",1080.46212866245,1120.55221213452,1122.06394226918,1145.49756077097,1204.47661886887,1296.69595922206,1420.13612093697,1572.0655038891,1727.82770138436,1789.70665110755,1904.34646496881,2088.31530028695,2144.3426111782,2102.59316626494,2206.05193412773,2302.20137936204
"Hong Kong SAR, China","HKG",25756.6637783278,25230.2163329516,24665.8899982779,23977.0194516698,24928.1003722551,26649.750801707,28224.2150609389,30594.0178410231,31515.6627713018,30697.340383517,32549.998231121,35142.4879344543,36730.8767001128,38403.7777145477,40315.2855640552,42431.8882817277
"Hungary","HUN",4624.28165670295,5276.03318905496,6655.33300865319,8421.10331316153,10285.7936270098,11200.5769496264,11475.8227057093,13918.9601910137,15753.4732840195,13046.4810081848,13113.5259617277,14150.9667263678,12918.2475205388,13687.246101281,14246.109801447,12651.5683423004
"Iceland","ISL",32018.0636814331,28793.9607523558,32326.6382384574,39423.9280143386,47367.2781676484,56658.5926679623,56673.6024445347,69054.2707914747,56409.7730986878,41333.418526258,43024.9234853499,47516.8746858993,45910.0205549899,49522.2365873909,54241.9346550193,52564.4291863302
